mhjd,mag_A,magerr_A,mag_B,magerr_B,mag_C,magerr_C,mag_D,magerr_D,telescope
58841.13207,20.36097,0.00540,20.19876,0.00541,20.30419,0.00376,21.18885,0.00432,WFI
58842.16012,20.36168,0.00234,20.20638,0.00552,20.30593,0.00323,21.16944,0.02050,WFI
58843.11997,20.34637,0.00787,20.20670,0.00478,20.29394,0.00493,21.17515,0.01151,WFI
58844.06261,20.35305,0.00269,20.21680,0.00628,20.29885,0.00302,21.17257,0.00696,WFI
58846.11866,20.37895,0.01361,20.24097,0.00885,20.35185,0.01741,21.22233,0.01888,WFI
58847.06533,20.35239,0.01040,20.20090,0.00424,20.28262,0.00234,21.17560,0.01676,WFI
58848.06383,20.35048,0.00733,20.19683,0.00060,20.28861,0.00279,21.18898,0.02446,WFI
58849.06461,20.35560,0.00344,20.20302,0.00367,20.29929,0.00988,21.13836,0.03021,WFI
58850.09163,20.34260,0.00239,20.20525,0.00481,20.28807,0.00218,21.14707,0.03243,WFI
58851.09007,20.32583,0.01307,20.21094,0.01055,20.27201,0.01472,21.16850,0.00749,WFI
58852.07296,20.35582,0.01718,20.20052,0.00160,20.27682,0.00209,21.16757,0.01986,WFI
58853.13455,20.32908,0.01732,20.22925,0.01592,20.26365,0.00627,21.17777,0.01386,WFI
58857.09367,20.35860,0.00889,20.23962,0.01514,20.27842,0.01528,21.22005,0.04850,WFI
58858.08787,20.34614,0.01098,20.22254,0.00630,20.29049,0.00846,21.17029,0.00969,WFI
58859.11549,20.34816,0.00780,20.21206,0.00091,20.27602,0.00986,21.18100,0.00324,WFI
58860.07943,20.33114,0.01160,20.22222,0.01487,20.28509,0.01897,21.16445,0.02425,WFI
58861.06572,20.36725,0.00177,20.21953,0.00107,20.27699,0.00558,21.15720,0.00623,WFI
58862.06844,20.36828,0.00882,20.23529,0.00509,20.27342,0.00506,21.16654,0.01247,WFI
58864.06844,20.36295,0.00235,20.22397,0.00180,20.28293,0.00628,21.13693,0.00486,WFI
58865.10274,20.36333,0.00315,20.22300,0.00643,20.26938,0.00134,21.16924,0.01286,WFI
