mhjd,mag_A,magerr_A,mag_B,magerr_B,telescope
57130.21347,-12.19753,0.00240,-11.15237,0.00585,EulerCAM
57134.22269,-12.21031,0.00523,-11.15817,0.00631,EulerCAM
57141.12410,-12.20748,0.00614,-11.15076,0.01677,EulerCAM
57150.04779,-12.19097,0.00269,-11.16556,0.00985,EulerCAM
57153.19096,-12.20502,0.00335,-11.18860,0.00423,EulerCAM
57161.20059,-12.19387,0.00314,-11.18760,0.01319,EulerCAM
57166.03965,-12.19938,0.00323,-11.15520,0.00641,EulerCAM
57170.05228,-12.22035,0.00339,-11.17530,0.00642,EulerCAM
57177.11131,-12.19391,0.00306,-11.16246,0.00693,EulerCAM
57193.12516,-12.19179,0.00389,-11.19094,0.00502,EulerCAM
57205.06834,-12.22749,0.00792,-11.12697,0.00891,EulerCAM
57206.05133,-12.20406,0.00511,-11.15795,0.01519,EulerCAM
57220.02079,-12.22240,0.00797,-11.17380,0.01359,EulerCAM
57232.99603,-12.22107,0.00718,-11.15651,0.02223,EulerCAM
57234.99569,-12.21205,0.00823,-11.18831,0.01138,EulerCAM
57235.99698,-12.20746,0.00447,-11.19628,0.00560,EulerCAM
57405.36939,-12.14800,0.00523,-11.10695,0.00539,EulerCAM
57413.37245,-12.12316,0.01074,-11.13769,0.02380,EulerCAM
57423.31099,-12.13383,0.00285,-11.10475,0.00717,EulerCAM
57431.31893,-12.13898,0.00554,-11.11893,0.00445,EulerCAM
57439.28788,-12.11267,0.00346,-11.09465,0.00702,EulerCAM
57447.33490,-12.11198,0.00313,-11.10413,0.02206,EulerCAM
57457.32545,-12.10027,0.00246,-11.09306,0.00399,EulerCAM
57479.34359,-12.11577,0.00288,-11.10614,0.00557,EulerCAM
57491.16254,-12.12157,0.00683,-11.07968,0.00754,EulerCAM
57507.29518,-12.08904,0.01016,-11.11335,0.01927,EulerCAM
57511.28843,-12.13048,0.00917,-11.13871,0.03421,EulerCAM
57516.21003,-12.11752,0.00344,-11.13601,0.00506,EulerCAM
57547.09244,-12.12443,0.00483,-11.12879,0.00485,EulerCAM
57562.05195,-12.14390,0.00276,-11.10318,0.01001,EulerCAM
57576.06422,-12.16745,0.00276,-11.13107,0.00662,EulerCAM
57583.96969,-12.15576,0.00666,-11.12848,0.01294,EulerCAM
57595.01016,-12.17146,0.01109,-11.17925,0.05251,EulerCAM
57595.99754,-12.18282,0.00230,-11.13230,0.00454,EulerCAM
57604.97757,-12.18947,0.00278,-11.13225,0.00468,EulerCAM
57765.35926,-12.27254,0.00601,-11.23436,0.00703,EulerCAM
